#Onset,Duration,Annotation
2002-02-05T05:17:23.0000000,30,???
2002-02-05T05:17:53.0000000,30,???
2002-02-05T05:18:23.0000000,30,???
2002-02-05T05:18:53.0000000,30,???
2002-02-05T05:19:23.0000000,30,???
2002-02-05T05:19:53.0000000,30,???
2002-02-05T05:20:23.0000000,30,???
2002-02-05T05:20:53.0000000,30,???
2002-02-05T05:21:23.0000000,30,???
2002-02-05T05:21:53.0000000,30,???
2002-02-05T05:22:23.0000000,30,???
2002-02-05T05:22:53.0000000,30,???
2002-02-05T05:23:23.0000000,30,???
2002-02-05T05:23:53.0000000,30,???
2002-02-05T05:24:23.0000000,30,???
2002-02-05T05:24:53.0000000,30,???
2002-02-05T05:25:23.0000000,30,???
2002-02-05T05:25:53.0000000,30,???
2002-02-05T05:26:23.0000000,30,???
2002-02-05T05:26:53.0000000,30,???
2002-02-05T05:27:23.0000000,30,???
2002-02-05T05:27:53.0000000,30,???
2002-02-05T05:28:23.0000000,30,???
2002-02-05T05:28:53.0000000,30,???
2002-02-05T05:29:23.0000000,30,???
2002-02-05T05:29:53.0000000,30,???
2002-02-05T05:30:23.0000000,30,???
2002-02-05T05:30:53.0000000,30,???
2002-02-05T05:31:23.0000000,30,???
2002-02-05T05:31:53.0000000,30,???
2002-02-05T05:32:23.0000000,30,???
2002-02-05T05:32:53.0000000,30,???
2002-02-05T05:33:23.0000000,30,???
2002-02-05T05:33:53.0000000,30,???
2002-02-05T05:34:23.0000000,30,???
2002-02-05T05:34:53.0000000,30,???
2002-02-05T05:35:23.0000000,30,???
2002-02-05T05:35:53.0000000,30,???
2002-02-05T05:36:23.0000000,30,???
2002-02-05T05:36:53.0000000,30,???
2002-02-05T05:37:23.0000000,30,???
2002-02-05T05:37:53.0000000,30,???
2002-02-05T05:38:23.0000000,30,???
2002-02-05T05:38:53.0000000,30,???
2002-02-05T05:39:23.0000000,30,???
2002-02-05T05:39:53.0000000,30,???
2002-02-05T05:40:23.0000000,30,???
2002-02-05T05:40:53.0000000,30,???
2002-02-05T05:41:23.0000000,30,???
2002-02-05T05:41:53.0000000,30,???
2002-02-05T05:42:23.0000000,30,???
2002-02-05T05:42:53.0000000,30,???
2002-02-05T05:43:23.0000000,30,???
2002-02-05T05:43:53.0000000,30,???
2002-02-05T05:44:23.0000000,30,???
2002-02-05T05:44:53.0000000,30,???
2002-02-05T05:45:23.0000000,30,???
2002-02-05T05:45:53.0000000,30,???
2002-02-05T05:46:23.0000000,30,???
2002-02-05T05:46:53.0000000,30,???
2002-02-05T05:47:23.0000000,30,???
2002-02-05T05:47:53.0000000,30,???
2002-02-05T05:48:23.0000000,30,???
2002-02-05T05:48:53.0000000,30,???
2002-02-05T05:49:23.0000000,30,???
2002-02-05T05:49:53.0000000,30,???
2002-02-05T05:50:23.0000000,30,???
2002-02-05T05:50:53.0000000,30,???
2002-02-05T05:51:23.0000000,30,???
2002-02-05T05:51:53.0000000,30,???
2002-02-05T05:52:23.0000000,30,???
2002-02-05T05:52:53.0000000,30,???
2002-02-05T05:53:23.0000000,30,???
2002-02-05T05:53:53.0000000,30,???
2002-02-05T05:54:23.0000000,30,???
2002-02-05T05:54:53.0000000,30,???
2002-02-05T05:55:23.0000000,30,???
2002-02-05T05:55:53.0000000,30,???
2002-02-05T05:56:23.0000000,30,???
2002-02-05T05:56:53.0000000,30,???
2002-02-05T05:57:23.0000000,30,???
2002-02-05T05:57:53.0000000,30,???
2002-02-05T05:58:23.0000000,30,???
2002-02-05T05:58:53.0000000,30,???
2002-02-05T05:59:23.0000000,30,???
2002-02-05T05:59:53.0000000,30,???
2002-02-05T06:00:23.0000000,30,???
2002-02-05T06:00:53.0000000,30,???
2002-02-05T06:01:23.0000000,30,???
2002-02-05T06:01:53.0000000,30,???
2002-02-05T06:02:23.0000000,30,???
2002-02-05T06:02:53.0000000,30,???
2002-02-05T06:03:23.0000000,30,???
2002-02-05T06:03:53.0000000,30,???
2002-02-05T06:04:23.0000000,30,???
2002-02-05T06:04:53.0000000,30,???
2002-02-05T06:05:23.0000000,30,???
2002-02-05T06:05:53.0000000,30,???
2002-02-05T06:06:23.0000000,30,???
2002-02-05T06:06:53.0000000,30,???
2002-02-05T06:07:23.0000000,30,???
2002-02-05T06:07:53.0000000,30,???
2002-02-05T06:08:23.0000000,30,???
2002-02-05T06:08:53.0000000,30,???
2002-02-05T06:09:23.0000000,30,???
2002-02-05T06:09:53.0000000,30,???
2002-02-05T06:10:23.0000000,30,???
2002-02-05T06:10:53.0000000,30,???
2002-02-05T06:11:23.0000000,30,???
2002-02-05T06:11:53.0000000,30,???
2002-02-05T06:12:23.0000000,30,???
